Student,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09,Item10,Item11,Item12
Student0001,1,1,1,1,1,0,0,1,1,1,1,0
Student0002,1,0,0,1,0,0,0,0,0,0,0,0
Student0003,1,1,1,1,1,1,1,1,1,1,1,0
Student0004,1,0,0,1,1,0,0,0,1,0,0,1
Student0005,1,0,1,1,1,1,1,0,1,1,0,0
Student0006,0,0,0,1,0,0,0,0,1,0,0,0
Student0007,1,1,0,1,0,0,0,0,0,0,0,0
Student0008,0,0,0,1,0,0,0,0,0,1,0,0
Student0009,1,1,1,0,1,0,0,0,0,0,0,0
Student0010,1,1,1,1,1,1,1,1,1,1,1,0
Student0011,1,0,0,1,0,0,0,0,0,0,0,0
Student0012,1,1,1,1,1,1,1,1,1,1,1,1
Student0013,0,0,0,1,0,0,0,0,0,0,0,0
Student0014,1,1,0,1,1,0,0,0,1,0,0,0
Student0015,1,1,0,0,0,0,0,1,0,0,0,0
Student0016,1,0,1,1,1,1,0,0,1,0,0,1
Student0017,1,1,1,1,1,1,1,1,1,1,1,1
Student0018,1,1,0,1,1,1,1,0,1,0,0,0
Student0019,0,0,0,0,0,0,0,1,0,0,0,0
Student0020,0,0,0,0,0,0,0,1,0,0,0,0
Student0021,1,0,0,1,0,0,0,0,0,0,0,0
Student0022,1,1,1,0,1,0,0,1,1,1,1,0
Student0023,1,1,0,1,0,0,0,1,1,1,0,0
Student0024,1,1,0,0,1,0,0,0,0,0,0,0
Student0025,0,0,0,0,0,0,0,0,0,0,0,0
Student0026,1,1,0,1,0,0,0,0,0,0,0,0
Student0027,1,1,1,1,1,1,0,0,0,0,0,0
Student0028,1,1,1,1,1,1,1,0,1,0,0,0
Student0029,1,0,0,1,0,0,0,0,1,0,0,1
Student0030,1,1,1,1,1,1,0,1,0,0,0,0
Student0031,1,0,1,0,1,0,0,1,1,1,0,0
Student0032,1,0,0,0,0,0,0,0,0,0,0,0
Student0033,0,0,0,0,0,0,0,0,0,0,0,0
Student0034,0,0,0,0,0,0,0,1,1,1,1,0
Student0035,1,1,0,1,0,0,0,1,0,0,0,0
Student0036,1,1,1,1,1,0,0,1,1,1,1,0
Student0037,1,1,1,0,1,0,0,0,1,0,0,0
Student0038,1,1,0,1,0,0,0,1,1,1,1,0
Student0039,1,1,1,0,0,0,0,0,0,0,0,0
Student0040,1,1,1,0,1,0,0,1,1,1,1,0
Student0041,0,0,0,1,1,0,0,0,0,0,0,0
Student0042,1,1,0,1,0,0,0,1,1,1,1,0
Student0043,1,1,1,1,0,0,0,0,0,0,0,0
Student0044,0,0,0,0,0,0,0,0,0,0,0,0
Student0045,1,1,1,0,1,0,0,0,0,0,0,0
Student0046,1,0,0,1,0,0,0,0,1,1,0,0
Student0047,0,0,0,0,0,0,0,0,0,0,0,0
Student0048,1,1,1,1,1,0,0,0,1,0,0,0
Student0049,0,0,0,0,0,0,0,0,0,0,0,0
Student0050,1,1,1,1,1,1,1,1,1,1,1,0
Student0051,0,0,0,1,1,1,1,1,1,1,1,0
Student0052,0,0,0,0,0,0,0,1,1,1,0,0
Student0053,1,1,1,0,0,0,0,1,1,1,1,0
Student0054,1,0,0,1,1,0,0,0,0,0,0,0
Student0055,0,0,0,0,0,0,0,0,0,0,0,0
Student0056,0,0,0,0,0,0,0,1,0,0,0,0
Student0057,1,0,0,0,0,0,0,1,1,1,1,1
Student0058,1,0,0,0,0,0,0,1,1,0,0,0
Student0059,1,1,1,1,1,1,1,1,1,1,1,1
Student0060,1,1,1,1,0,0,0,1,1,1,1,1
Student0061,1,1,1,1,1,1,1,1,1,1,1,1
Student0062,1,1,1,1,1,0,0,1,1,1,1,0
Student0063,0,1,0,1,1,0,0,1,1,0,0,0
Student0064,1,1,1,1,1,1,1,1,1,1,1,0
Student0065,0,0,0,0,0,0,0,0,0,0,0,0
Student0066,0,0,0,1,0,0,0,0,1,0,0,0
Student0067,1,0,0,0,0,0,0,0,0,0,0,1
Student0068,1,0,0,1,0,0,0,1,1,1,1,0
Student0069,1,1,0,1,0,0,0,0,1,0,0,0
Student0070,1,0,0,0,0,0,0,1,1,1,1,0
Student0071,1,0,0,1,0,0,0,0,0,1,0,0
Student0072,1,0,0,0,0,0,0,1,1,1,0,0
Student0073,0,0,0,0,0,0,0,1,0,0,0,0
Student0074,1,1,1,1,1,1,1,1,1,0,0,0
Student0075,1,1,0,1,1,0,0,1,1,1,1,1
Student0076,0,0,0,1,1,0,0,0,0,0,0,0
Student0077,1,1,1,1,1,0,0,0,1,0,0,0
Student0078,0,0,0,0,0,0,0,0,0,1,0,0
Student0079,0,0,0,0,0,0,0,0,0,0,0,0
Student0080,0,0,0,0,0,0,0,0,0,0,0,0
Student0081,0,0,0,0,0,0,0,1,0,1,0,0
Student0082,1,1,1,1,1,1,1,1,1,1,1,0
Student0083,1,1,0,1,0,0,0,0,0,0,0,0
Student0084,1,1,1,1,1,0,0,1,1,1,1,0
Student0085,1,1,1,1,0,0,0,0,1,0,0,0
Student0086,1,0,0,0,0,0,0,1,0,0,0,0
Student0087,1,0,0,1,0,0,0,0,0,0,0,0
Student0088,1,1,1,1,0,0,0,1,0,0,0,0
Student0089,0,0,0,0,0,0,0,0,0,1,0,0
Student0090,0,0,0,0,1,0,0,1,1,1,1,0
Student0091,0,0,0,1,1,0,1,0,0,0,1,0
Student0092,1,0,0,1,0,0,0,1,1,1,1,1
Student0093,1,1,1,1,1,1,1,1,1,1,1,0
Student0094,1,1,1,1,1,1,1,1,1,1,1,1
Student0095,1,1,0,1,1,1,1,1,1,1,1,1
Student0096,1,0,0,1,0,0,0,1,0,1,0,0
Student0097,0,0,0,0,0,0,0,0,1,0,0,0
Student0098,1,1,1,1,1,1,1,1,1,1,1,1
Student0099,1,0,1,0,0,0,0,1,1,1,1,0
Student0100,1,0,0,1,0,0,0,1,0,0,0,0
Student0101,1,1,0,0,1,0,0,1,1,1,1,0
Student0102,1,1,1,0,1,0,0,1,1,1,1,0
Student0103,1,1,0,0,0,0,0,0,0,0,0,0
Student0104,1,1,1,0,1,0,0,1,1,1,1,0
Student0105,1,0,0,0,0,0,0,1,1,1,1,0
Student0106,1,1,1,0,1,0,0,1,1,1,1,0
Student0107,1,0,0,0,0,0,0,0,0,0,0,0
Student0108,1,1,1,0,1,0,0,1,1,1,1,1
Student0109,1,1,0,1,1,1,1,0,1,0,0,0
Student0110,1,1,1,0,0,0,0,0,1,0,0,1
Student0111,0,0,0,0,1,0,0,0,0,0,0,0
Student0112,0,0,0,0,1,0,0,1,1,1,1,0
Student0113,1,1,1,1,1,1,0,1,1,1,1,0
Student0114,1,0,0,1,0,0,0,1,1,1,1,0
Student0115,1,0,0,0,0,0,0,0,1,0,0,0
Student0116,0,1,0,0,0,0,0,0,1,0,0,0
Student0117,1,0,0,1,1,0,0,0,0,0,0,0
Student0118,0,0,0,0,0,0,0,1,0,0,0,0
Student0119,1,0,0,1,0,0,0,1,1,1,1,0
Student0120,1,1,0,0,0,0,0,0,0,0,0,0
Student0121,1,1,0,1,1,0,0,0,0,0,0,0
Student0122,0,0,0,1,0,0,0,1,0,0,0,0
Student0123,1,1,0,1,1,0,0,1,1,1,0,0
Student0124,0,0,0,1,1,0,0,1,1,1,1,1
Student0125,1,0,0,1,0,0,0,0,0,0,0,0
Student0126,1,0,0,1,0,0,0,0,0,0,0,0
Student0127,1,1,1,1,1,0,0,1,1,1,1,0
Student0128,0,0,0,0,0,0,0,0,0,0,0,0
Student0129,0,0,0,0,0,0,0,0,0,0,0,0
Student0130,1,1,1,1,1,1,1,1,1,1,1,0
Student0131,1,1,0,1,1,1,1,0,1,0,0,0
Student0132,0,0,0,0,0,0,0,0,0,0,0,0
Student0133,0,0,0,1,1,0,0,0,0,0,0,0
Student0134,1,1,1,1,0,0,0,1,1,1,0,0
Student0135,1,1,1,1,1,0,0,1,1,0,0,0
Student0136,1,1,0,1,0,0,0,0,1,0,0,0
Student0137,1,0,0,0,0,0,0,1,0,0,0,0
Student0138,0,0,0,1,0,0,0,1,1,1,1,0
Student0139,1,1,1,1,1,1,1,1,1,1,1,0
Student0140,1,1,0,1,1,0,0,0,1,0,0,0
Student0141,1,0,0,0,0,0,0,0,0,0,0,0
Student0142,1,0,0,1,0,0,0,1,0,0,0,0
Student0143,1,1,1,1,1,0,0,1,1,1,1,0
Student0144,1,1,0,0,0,0,0,1,1,1,1,0
Student0145,1,0,0,1,0,0,0,1,1,1,1,0
Student0146,0,0,0,1,0,0,0,1,1,1,0,1
Student0147,0,0,0,1,0,0,0,0,0,0,0,0
Student0148,1,1,1,1,1,1,0,1,1,1,1,0
Student0149,1,0,0,1,0,0,0,0,0,0,0,0
Student0150,1,1,1,1,1,1,1,1,1,1,1,0
Student0151,1,1,0,1,0,0,0,0,0,1,0,0
Student0152,0,0,0,0,0,0,0,1,1,0,0,0
Student0153,1,1,1,1,1,1,1,1,1,1,1,1
Student0154,1,0,0,0,0,0,0,0,0,0,0,0
Student0155,0,0,0,1,0,0,0,0,0,0,0,0
Student0156,0,0,0,0,0,0,0,0,0,0,0,0
Student0157,0,0,0,1,1,1,0,0,0,0,0,0
Student0158,1,1,1,1,0,0,0,0,0,0,0,0
Student0159,0,0,0,1,0,0,0,1,0,1,0,0
Student0160,1,1,0,0,0,0,0,0,0,0,0,0
Student0161,0,0,0,0,0,0,0,0,0,0,0,0
Student0162,1,0,0,0,0,0,0,0,0,0,0,0
Student0163,0,0,0,1,0,0,0,1,1,1,0,0
Student0164,1,1,0,1,0,0,0,1,1,1,1,0
Student0165,0,1,0,1,1,1,1,1,1,0,1,0
Student0166,1,1,1,1,1,1,1,1,1,1,1,0
Student0167,0,0,0,0,0,0,0,0,0,0,0,0
Student0168,1,1,1,1,1,1,1,1,1,1,1,1
Student0169,1,0,0,1,0,0,0,1,0,0,0,0
Student0170,0,0,0,0,0,0,0,0,0,0,0,0
Student0171,0,1,0,1,0,0,0,1,1,1,1,0
Student0172,1,1,1,1,1,1,1,1,1,1,1,0
Student0173,0,0,0,0,0,0,0,0,0,0,0,0
Student0174,1,1,0,1,0,0,0,1,1,1,1,0
Student0175,1,0,0,1,0,0,0,0,0,0,0,0
Student0176,0,0,0,0,0,0,0,1,1,1,1,1
Student0177,0,0,0,1,1,0,0,0,1,0,0,0
Student0178,1,0,0,0,0,0,0,1,1,1,1,1
Student0179,1,1,0,1,0,0,0,1,1,1,1,1
Student0180,0,0,0,0,0,0,0,1,1,1,1,1
Student0181,1,0,0,1,0,0,0,0,0,0,0,0
Student0182,0,0,0,0,1,0,0,0,0,0,0,0
Student0183,0,0,0,0,0,0,0,0,1,0,0,0
Student0184,0,0,0,0,0,0,0,0,0,0,0,0
Student0185,1,0,0,0,0,0,0,1,1,1,1,0
Student0186,0,0,0,0,0,0,0,1,1,0,1,0
Student0187,1,1,1,1,1,1,1,0,1,0,0,0
Student0188,1,0,0,0,0,0,0,0,1,0,0,0
Student0189,0,0,0,0,0,0,0,0,0,0,0,0
Student0190,1,1,1,1,0,0,0,1,1,0,0,0
Student0191,0,0,0,0,0,0,0,1,1,1,0,0
Student0192,1,1,0,1,1,1,0,1,1,1,1,0
Student0193,0,0,0,0,0,0,0,0,0,0,0,0
Student0194,1,1,0,0,0,0,0,0,0,0,1,0
Student0195,1,1,0,1,1,1,1,1,1,1,1,1
Student0196,1,1,1,0,1,0,0,1,1,1,1,1
Student0197,1,1,1,1,0,0,0,0,1,0,0,1
Student0198,0,0,0,1,0,0,0,0,0,0,0,0
Student0199,0,0,0,0,0,0,0,1,0,0,0,0
Student0200,1,1,1,1,1,1,0,1,1,1,1,0
Student0201,0,0,0,1,0,0,0,1,0,1,0,0
Student0202,1,1,1,1,1,1,1,1,1,1,1,0
Student0203,0,0,0,1,0,0,0,0,0,0,0,0
Student0204,1,1,0,0,0,0,0,1,1,1,1,1
Student0205,0,1,0,1,0,0,0,0,0,0,0,0
Student0206,1,1,1,1,1,1,1,0,1,0,0,0
Student0207,1,1,1,1,1,1,1,1,1,0,0,0
Student0208,0,0,0,0,0,0,0,0,1,0,0,0
Student0209,1,0,0,0,0,0,0,0,0,0,1,0
Student0210,1,1,1,1,1,0,0,1,1,1,1,1
Student0211,1,1,0,1,0,0,0,0,0,0,0,0
Student0212,1,1,1,1,0,0,0,0,0,1,0,0
Student0213,1,1,0,1,1,0,0,0,0,1,0,0
Student0214,1,0,0,0,0,0,0,1,1,0,0,0
Student0215,0,0,0,1,0,0,0,0,0,0,0,0
Student0216,1,1,0,1,0,0,0,1,1,0,0,0
Student0217,1,1,0,1,0,0,0,0,0,0,0,0
Student0218,0,0,0,0,0,0,0,0,0,0,0,0
Student0219,1,0,0,1,0,0,0,0,0,1,0,0
Student0220,1,1,0,1,0,0,0,0,1,0,0,0
Student0221,1,0,0,1,0,0,0,1,1,1,1,0
Student0222,1,0,0,0,0,0,0,0,1,0,0,0
Student0223,1,0,0,0,0,0,0,1,1,0,0,0
Student0224,0,0,0,1,0,0,0,1,1,0,0,0
Student0225,1,0,0,1,1,1,0,0,0,0,0,0
Student0226,0,1,0,0,0,0,0,0,0,0,0,0
Student0227,0,0,0,0,0,0,0,0,1,0,0,0
Student0228,1,1,1,1,1,1,1,1,1,1,1,0
Student0229,0,0,0,0,0,0,0,1,1,1,1,0
Student0230,1,0,0,0,0,0,0,1,1,1,1,0
Student0231,0,0,0,1,0,0,0,0,0,0,0,0
Student0232,0,0,0,0,0,0,0,1,1,1,1,0
Student0233,1,1,1,1,0,0,0,1,1,0,0,0
Student0234,1,0,0,1,0,0,0,1,1,0,1,0
Student0235,0,0,0,0,0,0,0,0,0,0,0,0
Student0236,1,0,0,1,0,0,0,0,0,0,0,0
Student0237,1,0,0,1,0,0,0,0,0,0,0,0
Student0238,1,0,0,0,0,0,0,0,0,0,0,0
Student0239,1,0,0,1,0,0,0,0,0,0,0,0
Student0240,1,1,1,1,1,0,0,1,1,1,1,1
Student0241,1,0,1,1,1,0,0,0,1,0,0,1
Student0242,1,1,1,1,1,1,1,1,1,0,1,0
Student0243,1,1,0,1,1,0,0,0,0,1,0,0
Student0244,1,0,0,1,1,1,1,0,1,1,1,0
Student0245,1,1,1,1,0,0,0,0,0,0,0,0
Student0246,1,1,1,1,0,0,0,1,1,1,1,0
Student0247,0,0,0,0,0,0,0,0,0,0,0,0
Student0248,1,1,1,1,1,1,1,1,1,1,1,0
Student0249,1,1,1,1,1,1,0,1,1,1,1,0
Student0250,1,0,0,0,0,0,0,1,1,0,0,0
Student0251,1,1,0,0,1,0,0,0,0,0,0,0
Student0252,1,1,0,1,1,1,1,1,1,1,1,0
Student0253,1,1,1,1,1,1,0,1,1,1,1,0
Student0254,1,1,1,1,1,1,0,1,1,1,0,0
Student0255,1,1,0,1,0,0,0,0,0,0,0,0
Student0256,1,1,1,0,0,0,0,0,1,0,0,0
Student0257,1,0,0,1,1,0,0,0,0,0,0,0
Student0258,1,0,0,0,0,0,0,1,0,0,0,0
Student0259,0,0,0,1,0,0,0,0,0,0,0,0
Student0260,0,0,0,0,0,0,0,1,0,0,0,0
Student0261,1,1,1,1,1,0,0,1,0,0,1,0
Student0262,1,0,0,0,0,0,0,1,0,0,0,0
Student0263,1,1,1,1,1,0,0,0,1,1,1,0
Student0264,1,0,0,0,1,0,0,0,0,1,0,0
Student0265,1,1,1,1,1,1,1,1,1,1,1,0
Student0266,0,0,0,0,0,0,0,0,1,0,0,0
Student0267,1,0,0,0,0,0,0,1,1,1,1,0
Student0268,1,1,0,1,1,1,0,1,1,0,0,0
Student0269,1,0,0,1,0,0,0,1,1,0,0,0
Student0270,1,1,1,0,1,0,0,1,1,1,1,0
