ID,name,value
Student1,D0002,1
Student1,D0003,1
Student1,D0005,1
Student1,M0001,1
Student1,M0005,1
Student1,M0008,1
Student1,M0009,1
Student1,M0011,1
Student1,M0012,1
Student1,M0014,1
Student1,M0015,1
Student1,M0017,1
Student1,M0018,0
Student1,M0019,1
Student1,M0022,0
Student1,M0023,1
Student1,M0025,1
Student1,M0026,1
Student1,M0027,1
Student1,M0028,1
Student1,M0029,1
Student1,M0030,1
Student1,M0031,1
Student1,M0032,1
Student1,M0035,1
Student1,M0037,1
Student1,M0042,1
Student1,M0044,1
Student1,M0045,1
Student1,M0046,1
Student1,M0047,1
Student1,M0048,1
Student1,M0049,1
Student1,M0101,1
Student1,M0102,0
Student1,M0103,1
Student1,M0104,1
Student2,D0002,1
Student2,D0003,1
Student2,D0005,1
Student2,M0001,1
Student2,M0005,1
Student2,M0008,1
Student2,M0009,0
Student2,M0011,1
Student2,M0012,1
Student2,M0014,1
Student2,M0015,1
Student2,M0017,1
Student2,M0018,1
Student2,M0019,1
Student2,M0022,0
Student2,M0023,1
Student2,M0025,1
Student2,M0026,1
Student2,M0027,1
Student2,M0028,1
Student2,M0029,1
Student2,M0030,1
Student2,M0031,1
Student2,M0032,1
Student2,M0035,1
Student2,M0037,1
Student2,M0042,1
Student2,M0044,1
Student2,M0045,1
Student2,M0046,1
Student2,M0047,1
Student2,M0048,1
Student2,M0049,1
Student2,M0101,1
Student2,M0102,0
Student2,M0103,1
Student2,M0104,0
Student3,D0002,0
Student3,D0003,1
Student3,D0005,0
Student3,M0001,0
Student3,M0005,1
Student3,M0008,1
Student3,M0009,1
Student3,M0011,1
Student3,M0012,1
Student3,M0014,1
Student3,M0015,1
Student3,M0017,0
Student3,M0018,0
Student3,M0019,0
Student3,M0022,0
Student3,M0023,1
Student3,M0025,1
Student3,M0026,1
Student3,M0027,1
Student3,M0028,1
Student3,M0029,0
Student3,M0030,1
Student3,M0031,0
Student3,M0032,1
Student3,M0035,1
Student3,M0037,1
Student3,M0042,1
Student3,M0044,1
Student3,M0045,1
Student3,M0046,1
Student3,M0047,1
Student3,M0048,1
Student3,M0049,1
Student3,M0101,1
Student3,M0102,0
Student3,M0103,1
Student3,M0104,0
Student4,D0002,1
Student4,D0003,0
Student4,D0005,1
Student4,M0001,1
Student4,M0005,1
Student4,M0008,0
Student4,M0009,1
Student4,M0011,0
Student4,M0012,1
Student4,M0014,1
Student4,M0015,1
Student4,M0017,1
Student4,M0018,1
Student4,M0019,1
Student4,M0022,1
Student4,M0023,1
Student4,M0025,1
Student4,M0026,1
Student4,M0027,1
Student4,M0028,1
Student4,M0029,1
Student4,M0030,1
Student4,M0031,1
Student4,M0032,1
Student4,M0035,1
Student4,M0037,1
Student4,M0042,1
Student4,M0044,1
Student4,M0045,1
Student4,M0046,1
Student4,M0047,1
Student4,M0048,1
Student4,M0049,1
Student4,M0101,1
Student4,M0102,0
Student4,M0103,1
Student4,M0104,1
Student5,D0002,1
Student5,D0003,1
Student5,D0005,1
Student5,M0001,1
Student5,M0005,1
Student5,M0008,1
Student5,M0009,1
Student5,M0011,0
Student5,M0012,1
Student5,M0014,1
Student5,M0015,1
Student5,M0017,0
Student5,M0018,1
Student5,M0019,1
Student5,M0022,1
Student5,M0023,1
Student5,M0025,0
Student5,M0026,0
Student5,M0027,1
Student5,M0028,1
Student5,M0029,1
Student5,M0030,1
Student5,M0031,1
Student5,M0032,0
Student5,M0035,1
Student5,M0037,1
Student5,M0042,1
Student5,M0044,1
Student5,M0045,1
Student5,M0046,1
Student5,M0047,0
Student5,M0048,1
Student5,M0049,1
Student5,M0101,0
Student5,M0102,0
Student5,M0103,0
Student5,M0104,1
Student6,D0001,1
Student6,D0002,0
Student6,D0005,1
Student6,D0006,1
Student6,M0001,1
Student6,M0003,1
Student6,M0005,1
Student6,M0007,1
Student6,M0009,1
Student6,M0011,0
Student6,M0013,1
Student6,M0017,1
Student6,M0018,1
Student6,M0019,1
Student6,M0022,0
Student6,M0024,1
Student6,M0027,1
Student6,M0030,1
Student6,M0031,0
Student6,M0032,1
Student6,M0037,1
Student6,M0039,1
Student6,M0042,1
Student6,M0044,1
Student6,M0045,1
Student6,M0049,1
Student6,M0050,1
Student6,M0201,1
Student6,M0203,1
Student6,M0204,1
Student6,M0205,1
Student6,M0208,1
Student6,M0210,1
Student6,M0212,1
Student6,M0213,1
Student6,M0216,1
Student6,M0219,1
Student6,M0220,1
Student6,M0221,1
Student6,M0301,1
Student6,M0302,1
Student6,M0304,1
Student6,M0305,1
Student6,M0306,1
Student7,D0001,0
Student7,D0002,0
Student7,D0005,0
Student7,D0006,0
Student7,M0001,1
Student7,M0003,0
Student7,M0005,1
Student7,M0007,1
Student7,M0009,1
Student7,M0011,0
Student7,M0013,1
Student7,M0017,0
Student7,M0018,0
Student7,M0019,1
Student7,M0022,1
Student7,M0024,1
Student7,M0027,1
Student7,M0030,0
Student7,M0031,0
Student7,M0032,1
Student7,M0037,1
Student7,M0039,1
Student7,M0042,1
Student7,M0044,1
Student7,M0045,1
Student7,M0049,0
Student7,M0050,1
Student7,M0201,0
Student7,M0203,1
Student7,M0204,0
Student7,M0205,1
Student7,M0208,1
Student7,M0210,1
Student7,M0212,0
Student7,M0213,0
Student7,M0216,1
Student7,M0219,0
Student7,M0220,1
Student7,M0221,1
Student7,M0301,0
Student7,M0302,0
Student7,M0304,0
Student7,M0305,0
Student7,M0306,0
Student8,D0001,1
Student8,D0002,1
Student8,D0005,1
Student8,D0006,1
Student8,M0001,1
Student8,M0003,0
Student8,M0005,1
Student8,M0007,1
Student8,M0009,1
Student8,M0011,1
Student8,M0013,1
Student8,M0017,1
Student8,M0018,1
Student8,M0019,1
Student8,M0022,1
Student8,M0024,1
Student8,M0027,0
Student8,M0030,1
Student8,M0031,0
Student8,M0032,1
Student8,M0037,1
Student8,M0039,1
Student8,M0042,1
Student8,M0044,1
Student8,M0045,1
Student8,M0049,0
Student8,M0050,0
Student8,M0201,1
Student8,M0203,1
Student8,M0204,0
Student8,M0205,0
Student8,M0208,0
Student8,M0210,1
Student8,M0212,0
Student8,M0213,1
Student8,M0216,1
Student8,M0219,0
Student8,M0220,1
Student8,M0221,0
Student8,M0301,0
Student8,M0302,0
Student8,M0304,0
Student8,M0305,0
Student8,M0306,1
Student9,D0002,1
Student9,D0003,1
Student9,D0005,1
Student9,M0001,1
Student9,M0005,1
Student9,M0008,1
Student9,M0009,1
Student9,M0011,1
Student9,M0012,1
Student9,M0014,1
Student9,M0015,1
Student9,M0017,1
Student9,M0018,1
Student9,M0019,1
Student9,M0022,0
Student9,M0023,0
Student9,M0025,1
Student9,M0026,1
Student9,M0027,1
Student9,M0028,1
Student9,M0029,1
Student9,M0030,1
Student9,M0031,1
Student9,M0032,1
Student9,M0035,1
Student9,M0037,1
Student9,M0042,0
Student9,M0044,1
Student9,M0045,0
Student9,M0046,1
Student9,M0047,1
Student9,M0048,1
Student9,M0049,1
Student9,M0101,0
Student9,M0102,1
Student9,M0103,0
Student9,M0104,0
Student10,D0002,1
Student10,D0003,1
Student10,D0005,0
Student10,M0001,0
Student10,M0005,1
Student10,M0008,1
Student10,M0009,0
Student10,M0011,0
Student10,M0012,1
Student10,M0014,1
Student10,M0015,1
Student10,M0017,1
Student10,M0018,1
Student10,M0019,1
Student10,M0022,0
Student10,M0023,1
Student10,M0025,1
Student10,M0026,1
Student10,M0027,1
Student10,M0028,1
Student10,M0029,1
Student10,M0030,0
Student10,M0031,1
Student10,M0032,1
Student10,M0035,1
Student10,M0037,1
Student10,M0042,1
Student10,M0044,0
Student10,M0045,0
Student10,M0046,1
Student10,M0047,1
Student10,M0048,1
Student10,M0049,0
Student10,M0101,0
Student10,M0102,0
Student10,M0103,0
Student10,M0104,0
Student11,D0002,0
Student11,D0003,1
Student11,D0005,1
Student11,M0001,0
Student11,M0005,1
Student11,M0008,1
Student11,M0009,1
Student11,M0011,0
Student11,M0012,1
Student11,M0014,0
Student11,M0015,0
Student11,M0017,1
Student11,M0018,1
Student11,M0019,1
Student11,M0022,1
Student11,M0023,1
Student11,M0025,1
Student11,M0026,1
Student11,M0027,1
Student11,M0028,1
Student11,M0029,1
Student11,M0030,1
Student11,M0031,0
Student11,M0032,1
Student11,M0035,1
Student11,M0037,0
Student11,M0042,1
Student11,M0044,1
Student11,M0045,0
Student11,M0046,1
Student11,M0047,1
Student11,M0048,1
Student11,M0049,1
Student11,M0101,0
Student11,M0102,0
Student11,M0103,0
Student11,M0104,1
Student12,D0001,1
Student12,D0002,1
Student12,D0005,0
Student12,D0006,0
Student12,M0001,1
Student12,M0003,0
Student12,M0005,1
Student12,M0007,1
Student12,M0009,0
Student12,M0011,1
Student12,M0013,0
Student12,M0017,0
Student12,M0018,1
Student12,M0019,1
Student12,M0022,1
Student12,M0024,1
Student12,M0027,1
Student12,M0030,1
Student12,M0031,0
Student12,M0032,1
Student12,M0037,0
Student12,M0039,0
Student12,M0042,1
Student12,M0044,0
Student12,M0045,0
Student12,M0049,0
Student12,M0050,0
Student12,M0201,0
Student12,M0203,1
Student12,M0204,0
Student12,M0205,0
Student12,M0208,1
Student12,M0210,1
Student12,M0212,1
Student12,M0213,1
Student12,M0216,1
Student12,M0219,1
Student12,M0220,1
Student12,M0221,1
Student12,M0301,0
Student12,M0302,0
Student12,M0304,0
Student12,M0305,0
Student12,M0306,1
Student13,D0002,1
Student13,D0003,1
Student13,D0005,1
Student13,M0001,1
Student13,M0005,1
Student13,M0008,1
Student13,M0009,1
Student13,M0011,1
Student13,M0012,1
Student13,M0014,1
Student13,M0015,0
Student13,M0017,0
Student13,M0018,0
Student13,M0019,1
Student13,M0022,0
Student13,M0023,0
Student13,M0025,1
Student13,M0026,1
Student13,M0027,1
Student13,M0028,1
Student13,M0029,0
Student13,M0030,0
Student13,M0031,1
Student13,M0032,1
Student13,M0035,1
Student13,M0037,1
Student13,M0042,1
Student13,M0044,1
Student13,M0045,0
Student13,M0046,1
Student13,M0047,0
Student13,M0048,1
Student13,M0049,0
Student13,M0101,1
Student13,M0102,0
Student13,M0103,1
Student13,M0104,0
Student14,D0002,1
Student14,D0003,1
Student14,D0005,1
Student14,M0001,1
Student14,M0005,1
Student14,M0008,1
Student14,M0009,0
Student14,M0011,1
Student14,M0012,0
Student14,M0014,1
Student14,M0015,1
Student14,M0017,1
Student14,M0018,1
Student14,M0019,1
Student14,M0022,1
Student14,M0023,1
Student14,M0025,1
Student14,M0026,1
Student14,M0027,1
Student14,M0028,1
Student14,M0029,1
Student14,M0030,0
Student14,M0031,1
Student14,M0032,1
Student14,M0035,1
Student14,M0037,1
Student14,M0042,1
Student14,M0044,1
Student14,M0045,0
Student14,M0046,1
Student14,M0047,1
Student14,M0048,1
Student14,M0049,1
Student14,M0101,0
Student14,M0102,0
Student14,M0103,0
Student14,M0104,0
Student15,D0001,1
Student15,D0002,0
Student15,D0005,1
Student15,D0006,1
Student15,M0001,1
Student15,M0003,1
Student15,M0005,1
Student15,M0007,1
Student15,M0009,0
Student15,M0011,1
Student15,M0013,0
Student15,M0017,1
Student15,M0018,1
Student15,M0019,1
Student15,M0022,1
Student15,M0024,1
Student15,M0027,1
Student15,M0030,1
Student15,M0031,1
Student15,M0032,1
Student15,M0037,1
Student15,M0039,1
Student15,M0042,1
Student15,M0044,1
Student15,M0045,1
Student15,M0049,1
Student15,M0050,1
Student15,M0201,1
Student15,M0203,1
Student15,M0204,0
Student15,M0205,0
Student15,M0208,1
Student15,M0210,1
Student15,M0212,1
Student15,M0213,1
Student15,M0216,1
Student15,M0219,1
Student15,M0220,1
Student15,M0221,1
Student15,M0301,1
Student15,M0302,1
Student15,M0304,1
Student15,M0305,1
Student15,M0306,1
Student16,D0002,1
Student16,D0003,0
Student16,D0005,0
Student16,M0001,0
Student16,M0005,1
Student16,M0008,1
Student16,M0009,0
Student16,M0011,0
Student16,M0012,0
Student16,M0014,0
Student16,M0015,1
Student16,M0017,0
Student16,M0018,0
Student16,M0019,0
Student16,M0022,1
Student16,M0023,0
Student16,M0025,1
Student16,M0026,1
Student16,M0027,1
Student16,M0028,1
Student16,M0029,0
Student16,M0030,1
Student16,M0031,1
Student16,M0032,1
Student16,M0035,1
Student16,M0037,0
Student16,M0042,1
Student16,M0044,0
Student16,M0045,1
Student16,M0046,1
Student16,M0047,0
Student16,M0048,1
Student16,M0049,1
Student16,M0101,0
Student16,M0102,0
Student16,M0103,0
Student16,M0104,0
Student17,D0002,1
Student17,D0003,1
Student17,D0005,1
Student17,M0001,1
Student17,M0005,1
Student17,M0008,1
Student17,M0009,1
Student17,M0011,0
Student17,M0012,0
Student17,M0014,1
Student17,M0015,1
Student17,M0017,1
Student17,M0018,1
Student17,M0019,0
Student17,M0022,1
Student17,M0023,1
Student17,M0025,1
Student17,M0026,0
Student17,M0027,0
Student17,M0028,1
Student17,M0029,1
Student17,M0030,0
Student17,M0031,1
Student17,M0032,1
Student17,M0035,1
Student17,M0037,1
Student17,M0042,0
Student17,M0044,1
Student17,M0045,0
Student17,M0046,1
Student17,M0047,0
Student17,M0048,1
Student17,M0049,0
Student17,M0101,1
Student17,M0102,0
Student17,M0103,1
Student17,M0104,0
Student18,D0001,1
Student18,D0002,0
Student18,D0005,1
Student18,D0006,0
Student18,M0001,1
Student18,M0003,1
Student18,M0005,1
Student18,M0007,1
Student18,M0009,1
Student18,M0011,0
Student18,M0013,1
Student18,M0017,1
Student18,M0018,1
Student18,M0019,1
Student18,M0022,1
Student18,M0024,1
Student18,M0027,1
Student18,M0030,1
Student18,M0031,0
Student18,M0032,1
Student18,M0037,1
Student18,M0039,1
Student18,M0042,1
Student18,M0044,1
Student18,M0045,1
Student18,M0049,1
Student18,M0050,0
Student18,M0201,0
Student18,M0203,1
Student18,M0204,0
Student18,M0205,0
Student18,M0208,1
Student18,M0210,1
Student18,M0212,0
Student18,M0213,1
Student18,M0216,1
Student18,M0219,0
Student18,M0220,1
Student18,M0221,1
Student18,M0301,0
Student18,M0302,0
Student18,M0304,0
Student18,M0305,0
Student18,M0306,1
Student19,D0002,1
Student19,D0003,1
Student19,D0005,1
Student19,M0001,0
Student19,M0005,1
Student19,M0008,0
Student19,M0009,0
Student19,M0011,1
Student19,M0012,1
Student19,M0014,1
Student19,M0015,1
Student19,M0017,0
Student19,M0018,0
Student19,M0019,0
Student19,M0022,1
Student19,M0023,1
Student19,M0025,0
Student19,M0026,1
Student19,M0027,1
Student19,M0028,1
Student19,M0029,0
Student19,M0030,1
Student19,M0031,1
Student19,M0032,1
Student19,M0035,1
Student19,M0037,1
Student19,M0042,1
Student19,M0044,0
Student19,M0045,1
Student19,M0046,1
Student19,M0047,0
Student19,M0048,1
Student19,M0049,1
Student19,M0101,1
Student19,M0102,0
Student19,M0103,0
Student19,M0104,0
Student20,D0002,1
Student20,D0003,1
Student20,D0005,1
Student20,M0001,0
Student20,M0005,1
Student20,M0008,0
Student20,M0009,1
Student20,M0011,0
Student20,M0012,1
Student20,M0014,1
Student20,M0015,1
Student20,M0017,1
Student20,M0018,0
Student20,M0019,0
Student20,M0022,1
Student20,M0023,0
Student20,M0025,1
Student20,M0026,1
Student20,M0027,1
Student20,M0028,1
Student20,M0029,0
Student20,M0030,0
Student20,M0031,1
Student20,M0032,0
Student20,M0035,0
Student20,M0037,1
Student20,M0042,0
Student20,M0044,1
Student20,M0045,1
Student20,M0046,1
Student20,M0047,0
Student20,M0048,1
Student20,M0049,0
Student20,M0101,0
Student20,M0102,1
Student20,M0103,0
Student20,M0104,0
Student21,D0002,0
Student21,D0003,1
Student21,D0005,0
Student21,M0001,1
Student21,M0005,1
Student21,M0008,1
Student21,M0009,0
Student21,M0011,0
Student21,M0012,1
Student21,M0014,1
Student21,M0015,1
Student21,M0017,1
Student21,M0018,1
Student21,M0019,1
Student21,M0022,1
Student21,M0023,1
Student21,M0025,1
Student21,M0026,0
Student21,M0027,1
Student21,M0028,1
Student21,M0029,1
Student21,M0030,0
Student21,M0031,1
Student21,M0032,0
Student21,M0035,0
Student21,M0037,1
Student21,M0042,0
Student21,M0044,1
Student21,M0045,0
Student21,M0046,0
Student21,M0047,0
Student21,M0048,1
Student21,M0049,0
Student21,M0101,0
Student21,M0102,0
Student21,M0103,0
Student21,M0104,0
Student22,D0002,0
Student22,D0003,1
Student22,D0005,1
Student22,M0001,0
Student22,M0005,1
Student22,M0008,1
Student22,M0009,1
Student22,M0011,1
Student22,M0012,1
Student22,M0014,1
Student22,M0015,1
Student22,M0017,0
Student22,M0018,0
Student22,M0019,1
Student22,M0022,0
Student22,M0023,0
Student22,M0025,1
Student22,M0026,1
Student22,M0027,1
Student22,M0028,1
Student22,M0029,1
Student22,M0030,0
Student22,M0031,1
Student22,M0032,1
Student22,M0035,0
Student22,M0037,1
Student22,M0042,0
Student22,M0044,1
Student22,M0045,0
Student22,M0046,1
Student22,M0047,0
Student22,M0048,1
Student22,M0049,0
Student22,M0101,0
Student22,M0102,0
Student22,M0103,1
Student22,M0104,0
Student23,D0002,0
Student23,D0003,1
Student23,D0005,1
Student23,M0003,0
Student23,M0004,0
Student23,M0006,1
Student23,M0007,0
Student23,M0009,0
Student23,M0010,1
Student23,M0011,0
Student23,M0012,1
Student23,M0016,1
Student23,M0017,1
Student23,M0018,1
Student23,M0019,1
Student23,M0020,0
Student23,M0023,0
Student23,M0025,0
Student23,M0027,1
Student23,M0029,1
Student23,M0030,1
Student23,M0031,1
Student23,M0036,1
Student23,M0037,0
Student23,M0038,0
Student23,M0039,1
Student23,M0040,1
Student23,M0041,0
Student23,M0042,0
Student23,M0043,1
Student23,M0203,0
Student23,M0204,0
Student23,M0206,0
Student23,M0208,1
Student23,M0209,1
Student23,M0210,0
Student23,M0212,1
Student23,M0217,0
Student23,M0219,0
Student23,M0301,1
Student23,M0302,0
Student23,M0303,0
Student23,M0304,0
Student23,M0305,1
Student23,M0306,1
Student24,D0002,0
Student24,D0003,0
Student24,D0005,0
Student24,M0003,1
Student24,M0004,1
Student24,M0006,1
Student24,M0007,1
Student24,M0009,1
Student24,M0010,1
Student24,M0011,1
Student24,M0012,1
Student24,M0016,0
Student24,M0017,1
Student24,M0018,1
Student24,M0019,0
Student24,M0020,1
Student24,M0023,1
Student24,M0025,1
Student24,M0027,1
Student24,M0029,0
Student24,M0030,1
Student24,M0031,1
Student24,M0036,1
Student24,M0037,1
Student24,M0038,1
Student24,M0039,1
Student24,M0040,0
Student24,M0041,1
Student24,M0042,1
Student24,M0043,1
Student24,M0203,0
Student24,M0204,0
Student24,M0206,1
Student24,M0208,1
Student24,M0209,1
Student24,M0210,1
Student24,M0212,1
Student24,M0217,1
Student24,M0219,0
Student24,M0301,1
Student24,M0302,1
Student24,M0303,1
Student24,M0304,1
Student24,M0305,1
Student24,M0306,1
Student25,D0002,1
Student25,D0003,1
Student25,D0005,1
Student25,M0003,0
Student25,M0004,0
Student25,M0006,1
Student25,M0007,1
Student25,M0009,1
Student25,M0010,1
Student25,M0011,0
Student25,M0012,1
Student25,M0016,1
Student25,M0017,0
Student25,M0018,1
Student25,M0019,1
Student25,M0020,1
Student25,M0023,0
Student25,M0025,0
Student25,M0027,1
Student25,M0029,0
Student25,M0030,1
Student25,M0031,1
Student25,M0036,1
Student25,M0037,1
Student25,M0038,1
Student25,M0039,1
Student25,M0040,0
Student25,M0041,0
Student25,M0042,1
Student25,M0043,0
Student25,M0203,1
Student25,M0204,0
Student25,M0206,0
Student25,M0208,1
Student25,M0209,0
Student25,M0210,1
Student25,M0212,1
Student25,M0217,0
Student25,M0219,0
Student25,M0301,0
Student25,M0302,1
Student25,M0303,1
Student25,M0304,0
Student25,M0305,1
Student25,M0306,1
Student26,D0002,1
Student26,D0003,0
Student26,D0005,1
Student26,M0003,0
Student26,M0004,1
Student26,M0006,1
Student26,M0007,1
Student26,M0009,1
Student26,M0010,1
Student26,M0011,0
Student26,M0012,1
Student26,M0016,1
Student26,M0017,1
Student26,M0018,1
Student26,M0019,1
Student26,M0020,1
Student26,M0023,1
Student26,M0025,0
Student26,M0027,0
Student26,M0029,1
Student26,M0030,1
Student26,M0031,1
Student26,M0036,0
Student26,M0037,1
Student26,M0038,1
Student26,M0039,1
Student26,M0040,1
Student26,M0041,1
Student26,M0042,1
Student26,M0043,1
Student26,M0203,0
Student26,M0204,0
Student26,M0206,0
Student26,M0208,1
Student26,M0209,1
Student26,M0210,1
Student26,M0212,1
Student26,M0217,0
Student26,M0219,0
Student26,M0301,1
Student26,M0302,0
Student26,M0303,1
Student26,M0304,0
Student26,M0305,0
Student26,M0306,1
Student27,D0002,1
Student27,D0003,1
Student27,D0005,1
Student27,M0003,0
Student27,M0004,1
Student27,M0006,1
Student27,M0007,0
Student27,M0009,1
Student27,M0010,1
Student27,M0011,1
Student27,M0012,1
Student27,M0016,1
Student27,M0017,0
Student27,M0018,0
Student27,M0019,0
Student27,M0020,0
Student27,M0023,0
Student27,M0025,1
Student27,M0027,1
Student27,M0029,1
Student27,M0030,0
Student27,M0031,1
Student27,M0036,1
Student27,M0037,1
Student27,M0038,1
